FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2024/10/05,54,NORTE DE SANTANDER,54398,LA PLAYA,1,3
2024/10/05,68,SANTANDER,68190,CIMITARRA,1,3
2024/10/05,76,VALLE DEL CAUCA,76403,LA VICTORIA,1,3
2024/10/06,41,HUILA,41006,ACEVEDO,1,3
2024/10/07,19,CAUCA,19821,TORIBIO,1,3
2024/10/08,68,SANTANDER,68081,BARRANCABERMEJA,1,3
2024/10/17,19,CAUCA,19137,CALDONO,1,4
2024/10/22,8,ATLANTICO,8758,SOLEDAD,1,3
2024/10/22,19,CAUCA,19780,SUAREZ,1,3
2024/10/24,66,RISARALDA,66001,PEREIRA,1,3
2024/10/27,76,VALLE DEL CAUCA,76520,PALMIRA,1,3
2024/10/29,23,CORDOBA,23001,MONTERIA,1,4
2024/10/30,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,3
2024/11/15,44,LA GUAJIRA,44001,RIOHACHA,1,4
2024/11/17,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,1,3
2024/11/21,5,ANTIOQUIA,5040,ANORI,1,5
2024/11/22,8,ATLANTICO,8001,BARRANQUILLA,1,4
2024/11/23,52,NARIÑO,52356,IPIALES,1,3
2024/11/24,41,HUILA,41020,ALGECIRAS,1,3
2024/11/26,52,NARIÑO,52540,POLICARPA,1,4
2024/11/27,52,NARIÑO,52356,IPIALES,1,5
2024/12/01,19,CAUCA,19450,MERCADERES,1,4
2024/12/02,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,4
2024/12/10,70,SUCRE,70702,SAN JUAN DE BETULIA,1,3
2024/12/15,5,ANTIOQUIA,5001,MEDELLIN,1,3
2024/12/18,86,PUTUMAYO,86568,PUERTO ASIS,1,3
2024/12/24,19,CAUCA,19050,ARGELIA,1,3
2024/12/29,20,CESAR,20011,AGUACHICA,1,4
2025/01/12,76,VALLE DEL CAUCA,76001,CALI,1,3
